% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'declines expect', 'rates', 'NNS VBP', 'NNS', 'money paid for the use of money'
'declining indicate', 'rates permit', 'VBG VB', 'NNS VBP', 'money paid for the use of money'
'short-term rises', 'rates', 'JJ NNS', 'NNS', 'money paid for the use of money'
'% 83X4', 'energy-services company', 'NN AB', 'JJ NN', 'a share in a company or business'
'company holding', 'mechanical engineering', 'NN VBG', 'JJ NN', 'a share in a company or business'
'plus refunded', '', 'CC VBN', '', 'money paid for the use of money'
'set curry', 'rate refund', 'VBD NP', 'NN NN', 'money paid for the use of money'
'Xs country', 'prompted improvements', 'POS NN', 'VBD NNS', 'advantage, advancement or favor'
'principal reduction', 'way debt', 'NN NN', 'NN NN', 'money paid for the use of money'
'increase right', '70 %', 'VB NN', 'AB NN', 'a share in a company or business'
'strong show', 'japanese investors', 'JJ VBP', 'JJ NNS', 'readiness to give attention'
'early retired', 'rates decline', 'RB VBN', 'NNS VBP', 'money paid for the use of money'
'drop time', 'rates since', 'NN NN', 'NNS IN', 'money paid for the use of money'
'drop predicted', 'rates eventually', 'NN VBD', 'NNS RB', 'money paid for the use of money'
'accrued plus', 'date purchase', 'VBN CC', 'NN NN', 'money paid for the use of money'
'fluctuation dramatic', 'rates company', 'NN JJ', 'NNS NN', 'money paid for the use of money'
'international growing', 'japanese behavior', 'JJ JJ', 'JJ NN', 'readiness to give attention'
'uXsX lower', 'rates spurred', 'NP JJR', 'NNS VBN', 'money paid for the use of money'
'little showed', 'evidence slowing', 'JJ VBD', 'NN VBG', 'readiness to give attention'
'short-term cut', 'rates nXt', 'JJ VB', 'NNS RB', 'money paid for the use of money'
'funds federal', 'rate 0X25', 'NNS JJ', 'NN AB', 'money paid for the use of money'
'higher resulting', 'costs taxpayer', 'JJR VBG', 'NNS NN', 'money paid for the use of money'
'business japanese', 'uXs', 'NN JJ', 'NP', 'activity, etc. that one gives attention to'
'japanese heightened', 'american small', 'JJ JJ', 'JJ JJ', 'readiness to give attention'
'controlling bought', 'glass company', 'VBG VBD', 'NN NN', 'a share in a company or business'
'great incX', 'making investments', 'JJ NP', 'VBG NNS', 'readiness to give attention'
'% 35', 'trading company', 'NN AB', 'NN NN', 'a share in a company or business'
'primarily customers', 'rates pay', 'RB NNS', 'NNS VBP', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'semiannual million', 'payment due', 'JJ AB', 'NN JJ', 'money paid for the use of money'
'variety illegal', 'rate swap', 'NN JJ', 'NN NN', 'money paid for the use of money'
'market sterling', 'rate swap', 'NN NN', 'NN NN', 'money paid for the use of money'
'engage parties', 'rate swap', 'VBP NNS', 'NN NN', 'money paid for the use of money'
'fixed-rate make', 'payments debt', 'JJ VB', 'NNS NN', 'money paid for the use of money'
'', 'rates rose', '', 'NNS VBD', 'money paid for the use of money'
'growing noting', '900 service', 'VBG VBG', 'AB NN', 'readiness to give attention'
'dealing see', 'rates deficit', 'VBG VB', 'NNS NN', 'money paid for the use of money'
'bonds series', 'subject federal', 'NNS NN', 'JJ JJ', 'money paid for the use of money'
'important every', 'team -', 'JJ DT', 'NN ?', 'advantage, advancement or favor'
'national protecting', 'encouraging new', 'JJ VBG', 'VBG JJ', 'advantage, advancement or favor'
