% File: interest_1-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'declines', 'rates', 'NNS', 'NNS', 'money paid for the use of money'
'declining', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'%', 'energy-services', 'NN', 'JJ', 'a share in a company or business'
'company', 'mechanical', 'NN', 'JJ', 'a share in a company or business'
'plus', '', 'CC', '', 'money paid for the use of money'
'set', 'rate', 'VBD', 'NN', 'money paid for the use of money'
'Xs', 'prompted', 'POS', 'VBD', 'advantage, advancement or favor'
'principal', 'way', 'NN', 'NN', 'money paid for the use of money'
'increase', '70', 'VB', 'AB', 'a share in a company or business'
'strong', 'japanese', 'JJ', 'JJ', 'readiness to give attention'
'early', 'rates', 'RB', 'NNS', 'money paid for the use of money'
'drop', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'drop', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'accrued', 'date', 'VBN', 'NN', 'money paid for the use of money'
'fluctuation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'international', 'japanese', 'JJ', 'JJ', 'readiness to give attention'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'little', 'evidence', 'JJ', 'NN', 'readiness to give attention'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'funds', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'higher', 'costs', 'JJR', 'NNS', 'money paid for the use of money'
'business', 'uXs', 'NN', 'NP', 'activity, etc. that one gives attention to'
'japanese', 'american', 'JJ', 'JJ', 'readiness to give attention'
'controlling', 'glass', 'VBG', 'NN', 'a share in a company or business'
'great', 'making', 'JJ', 'VBG', 'readiness to give attention'
'%', 'trading', 'NN', 'NN', 'a share in a company or business'
'primarily', 'rates', 'RB', 'NNS', 'money paid for the use of money'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'semiannual', 'payment', 'JJ', 'NN', 'money paid for the use of money'
'variety', 'rate', 'NN', 'NN', 'money paid for the use of money'
'market', 'rate', 'NN', 'NN', 'money paid for the use of money'
'engage', 'rate', 'VBP', 'NN', 'money paid for the use of money'
'fixed-rate', 'payments', 'JJ', 'NNS', 'money paid for the use of money'
'', 'rates', '', 'NNS', 'money paid for the use of money'
'growing', '900', 'VBG', 'AB', 'readiness to give attention'
'dealing', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'bonds', 'subject', 'NNS', 'JJ', 'money paid for the use of money'
'important', 'team', 'JJ', 'NN', 'advantage, advancement or favor'
'national', 'encouraging', 'JJ', 'VBG', 'advantage, advancement or favor'
'regarding', 'rates', 'VBG', 'NNS', 'money paid for the use of money'
'investor', 'directed', 'NN', 'VBN', 'readiness to give attention'
'investor', 'focused', 'NN', 'VBN', 'readiness to give attention'
'changes', 'income', 'NNS', 'NN', 'money paid for the use of money'
'Xs', 'expense', 'POS', 'NN', 'money paid for the use of money'
'signal', 'helping', 'VB', 'VBG', 'readiness to give attention'
'%', 'chain', 'NN', 'NN', 'a share in a company or business'
'unspecified', 'move', 'JJ', 'NN', 'activity, etc. that one gives attention to'
'cited', 'costs', 'VBD', 'NNS', 'money paid for the use of money'
'decline', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'family', '$', 'NN', 'NN', 'a share in a company or business'
'fluctuation', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'annual', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'best', 'company', 'JJS', 'NN', 'advantage, advancement or favor'
'announcement', 'minority', 'NN', 'NN', 'readiness to give attention'
'high', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'pursue', 'mrX', 'VB', 'NP', 'activity, etc. that one gives attention to'
'investor', 'remained', 'NN', 'VBD', 'readiness to give attention'
'domestic', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'market', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'also', 'packaging', 'RB', 'NN', 'a share in a company or business'
'levels', 'coverage', 'NNS', 'NN', 'money paid for the use of money'
'lower', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'bring', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'average', 'rate', 'JJ', 'NN', 'money paid for the use of money'
'little', 'impression', 'JJ', 'NN', 'readiness to give attention'
'quick', 'mrX', 'JJ', 'NP', 'readiness to give attention'
'higher', 'rates', 'JJR', 'NNS', 'money paid for the use of money'
'timber', 'result', 'NN', 'VB', 'a share in a company or business'
'owed', 'october', 'VBD', 'NP', 'money paid for the use of money'
'healthvest', 'certain', 'NP', 'JJ', 'a share in a company or business'
'illegal', 'beer', 'JJ', 'NN', 'a share in a company or business'
'ownership', 'real', 'NN', 'JJ', 'a share in a company or business'
'lowered', 'rate', 'VBD', 'NN', 'money paid for the use of money'
'complain', 'paying', 'VB', 'VBG', 'money paid for the use of money'
'true', 'cost', 'JJ', 'NN', 'money paid for the use of money'
'true', 'cost', 'JJ', 'NN', 'money paid for the use of money'
'', 'bonds', '', 'NNS', 'money paid for the use of money'
'downturn', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'investor', 'mortgage', 'NN', 'NN', 'readiness to give attention'
'', 'great', '', 'JJ', 'readiness to give attention'
'drive', 'rates', 'VB', 'NNS', 'money paid for the use of money'
'pay', 'monthly', 'VBP', 'RB', 'money paid for the use of money'
'long-term', 'corporation', 'JJ', 'NN', 'advantage, advancement or favor'
'company', 'manufacturing', 'NN', 'VBG', 'a share in a company or business'
'growing', 'environment', 'VBG', 'NN', 'readiness to give attention'
'much', 'refillable', 'JJ', 'JJ', 'readiness to give attention'
'pay', '115', 'VBP', 'AB', 'money paid for the use of money'
'eases', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'narrowing', 'rate', 'NN', 'NN', 'money paid for the use of money'
'short-term', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'rises', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'german', 'rates', 'JJ', 'NNS', 'money paid for the use of money'
'uXsX', 'rates', 'NP', 'NNS', 'money paid for the use of money'
'Xs', 'rate', 'POS', 'NN', 'money paid for the use of money'
'swaps', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'problems', 'rate', 'NNS', 'NN', 'money paid for the use of money'
'envision', 'rate', 'VB', 'NN', 'money paid for the use of money'
'involving', 'rate', 'VBG', 'NN', 'money paid for the use of money'
'', 'rate', '', 'NN', 'money paid for the use of money'
'Xs', 'rate', 'POS', 'NN', 'money paid for the use of money'
'Xs', 'rate', 'POS', 'NN', 'money paid for the use of money'
'finding', 'unlikely', 'VBG', 'JJ', 'readiness to give attention'
'corporate', 'health-care', 'JJ', 'NN', 'readiness to give attention'
'eases', 'rates', 'VBZ', 'NNS', 'money paid for the use of money'
'minority', 'surged', 'NN', 'VBD', 'a share in a company or business'
'minority', 'revenue', 'NN', 'NN', 'a share in a company or business'
'', 'rate', '', 'NN', 'money paid for the use of money'
'outlook', 'rates', 'NN', 'NNS', 'money paid for the use of money'
'spectrum', 'congress', 'NN', 'NP', 'activity, etc. that one gives attention to'
'net-profits', 'certain', 'JJ', 'JJ', 'a share in a company or business'
'carries', 'rate', 'VBZ', 'NN', 'money paid for the use of money'
'%', 'real', 'NN', 'JJ', 'a share in a company or business'
'minority', 'extraordinary', 'NN', 'JJ', 'a share in a company or business'
'million', 'saudi', 'AB', 'NP', 'a share in a company or business'
