% File: interest_2-gram.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'expect declines', 'rates', 'VBP NNS', 'NNS', 'money paid for the use of money'
'indicate declining', 'rates permit', 'VB VBG', 'NNS VBP', 'money paid for the use of money'
'rises short-term', 'rates', 'NNS JJ', 'NNS', 'money paid for the use of money'
'83X4 %', 'energy-services company', 'AB NN', 'JJ NN', 'a share in a company or business'
'holding company', 'mechanical engineering', 'VBG NN', 'JJ NN', 'a share in a company or business'
'refunded plus', '', 'VBN CC', '', 'money paid for the use of money'
'curry set', 'rate refund', 'NP VBD', 'NN NN', 'money paid for the use of money'
'country Xs', 'prompted improvements', 'NN POS', 'VBD NNS', 'advantage, advancement or favor'
'reduction principal', 'way debt', 'NN NN', 'NN NN', 'money paid for the use of money'
'right increase', '70 %', 'NN VB', 'AB NN', 'a share in a company or business'
'show strong', 'japanese investors', 'VBP JJ', 'JJ NNS', 'readiness to give attention'
'retired early', 'rates decline', 'VBN RB', 'NNS VBP', 'money paid for the use of money'
'time drop', 'rates since', 'NN NN', 'NNS IN', 'money paid for the use of money'
'predicted drop', 'rates eventually', 'VBD NN', 'NNS RB', 'money paid for the use of money'
'plus accrued', 'date purchase', 'CC VBN', 'NN NN', 'money paid for the use of money'
'dramatic fluctuation', 'rates company', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'growing international', 'japanese behavior', 'JJ JJ', 'JJ NN', 'readiness to give attention'
'lower uXsX', 'rates spurred', 'JJR NP', 'NNS VBN', 'money paid for the use of money'
'showed little', 'evidence slowing', 'VBD JJ', 'NN VBG', 'readiness to give attention'
'cut short-term', 'rates nXt', 'VB JJ', 'NNS RB', 'money paid for the use of money'
'federal funds', 'rate 0X25', 'JJ NNS', 'NN AB', 'money paid for the use of money'
'resulting higher', 'costs taxpayer', 'VBG JJR', 'NNS NN', 'money paid for the use of money'
'japanese business', 'uXs', 'JJ NN', 'NP', 'activity, etc. that one gives attention to'
'heightened japanese', 'american small', 'JJ JJ', 'JJ JJ', 'readiness to give attention'
'bought controlling', 'glass company', 'VBD VBG', 'NN NN', 'a share in a company or business'
'incX great', 'making investments', 'NP JJ', 'VBG NNS', 'readiness to give attention'
'35 %', 'trading company', 'AB NN', 'NN NN', 'a share in a company or business'
'customers primarily', 'rates pay', 'NNS RB', 'NNS VBP', 'money paid for the use of money'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'million semiannual', 'payment due', 'AB JJ', 'NN JJ', 'money paid for the use of money'
'illegal variety', 'rate swap', 'JJ NN', 'NN NN', 'money paid for the use of money'
'sterling market', 'rate swap', 'NN NN', 'NN NN', 'money paid for the use of money'
'parties engage', 'rate swap', 'NNS VBP', 'NN NN', 'money paid for the use of money'
'make fixed-rate', 'payments debt', 'VB JJ', 'NNS NN', 'money paid for the use of money'
'', 'rates rose', '', 'NNS VBD', 'money paid for the use of money'
'noting growing', '900 service', 'VBG VBG', 'AB NN', 'readiness to give attention'
'see dealing', 'rates deficit', 'VB VBG', 'NNS NN', 'money paid for the use of money'
'series bonds', 'subject federal', 'NN NNS', 'JJ JJ', 'money paid for the use of money'
'every important', 'team -', 'DT JJ', 'NN ?', 'advantage, advancement or favor'
'protecting national', 'encouraging new', 'VBG JJ', 'VBG JJ', 'advantage, advancement or favor'
'uncertainty regarding', 'rates dollar', 'NN VBG', 'NNS NN', 'money paid for the use of money'
'currency investor', 'directed toward', 'NN NN', 'VBN IN', 'readiness to give attention'
'said investor', 'focused defensive', 'VBD NN', 'VBN JJ', 'readiness to give attention'
'price changes', 'income', 'NN NNS', 'NN', 'money paid for the use of money'
'company Xs', 'expense exceeds', 'NN POS', 'NN VBZ', 'money paid for the use of money'
'incX signal', 'helping revive', 'NP VB', 'VBG VB', 'readiness to give attention'
'20 %', 'chain january', 'AB NN', 'NN NP', 'a share in a company or business'
'pursue unspecified', 'move news', 'VB JJ', 'NN NN', 'activity, etc. that one gives attention to'
'also cited', 'costs amortization', 'RB VBD', 'NNS NN', 'money paid for the use of money'
'toward decline', 'rates', 'IN NN', 'NNS', 'money paid for the use of money'
'mcalpine family', '$ 1', 'NP NN', 'NN AB', 'a share in a company or business'
'dramatic fluctuation', 'rates association', 'JJ NN', 'NNS NN', 'money paid for the use of money'
'cut short-term', 'rates due', 'VB JJ', 'NNS JJ', 'money paid for the use of money'
'foreign annual', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'Xs best', 'company Xs', 'POS JJS', 'NN POS', 'advantage, advancement or favor'
'19 announcement', 'minority stake', 'AB NN', 'NN NN', 'readiness to give attention'
'buffeted high', 'rates slowing', 'VBN JJ', 'NNS VBG', 'money paid for the use of money'
'going pursue', 'mrX jahn', 'VBG VB', 'NP NP', 'activity, etc. that one gives attention to'
'attract investor', 'remained sluggish', 'VB NN', 'VBD JJ', 'readiness to give attention'
'said domestic', 'rates likely', 'VBD JJ', 'NNS JJ', 'money paid for the use of money'
'direction short-term', 'rates treasury', 'NN JJ', 'NNS NP', 'money paid for the use of money'
