% File: interest_whole-phrase.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE class_senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
 
'yields money-market mutual funds continued slide amid signs portfolio managers expect declines', 'rates', 'NNS JJ JJ NNS VBD VB IN NNS NN NNS VBP NNS', 'NNS', 'money paid for the use of money'
'longer maturities thought indicate declining', 'rates permit portfolio managers retain relatively higher rates longer period', 'JJR NNS VBN VB VBG', 'NNS VBP NN NNS VB RB JJR NNS JJR NN', 'money paid for the use of money'
'nevertheless said brenda malizia negus editor money fund report yields may blip blip recent rises short-term', 'rates', 'RB VBD NP NP NP NN NP NP NP NNS MD VB VBP JJ NNS JJ', 'NNS', 'money paid for the use of money'
'jXpX bolduc vice chairman wXrX grace AND coX holds 83X4 %', 'energy-services company elected director', 'NP NP NN NN NP NP CC NP VBZ AB NN', 'JJ NN VBN NN', 'a share in a company or business'
'finmeccanica italian state-owned holding company', 'mechanical engineering industry', 'NP JJ JJ VBG NN', 'JJ NN NN', 'a share in a company or business'
'august commission ruled $ 190 million $ 195 million plant Xs construction cost unreasonable refunded plus', '', 'NP NN VBD NN AB AB NN AB AB NN POS NN NN JJ VBN CC', '', 'money paid for the use of money'
'last month judge curry set', 'rate refund 9 %', 'JJ NN NP NP VBD', 'NN NN AB NN', 'money paid for the use of money'
'gary hoffman washington lawyer specializing intellectual-property cases said threat uXsX retaliation combined growing recognition protecting intellectual property country Xs', 'prompted improvements made south korea taiwan saudi arabia', 'NP NP NP NN VBG JJ NNS VBD NN NP NN VBN VBG NN VBG JJ NN NN POS', 'VBD NNS VBN NP NP NP NP NP', 'advantage, advancement or favor'
'mrX rapanelli recently said government president carlos menem took office july 8 feels significant reduction principal', 'way debt problem may solved', 'NP NP RB VBD NN NP NP NP VBD NN NP AB VBZ JJ NN NN', 'NN NN NN MD VBN', 'money paid for the use of money'
'stake together convertible preferred stock holdings gives faulding right increase', '70 % moleculon Xs voting stock', 'NN RB JJ VBN NN NNS VBZ NP NN VB', 'AB NN NP POS NN NN', 'a share in a company or business'
'purchases show strong', 'japanese investors uXsX mortgage-based instruments fannie mae Xs chairman david oX maxwell said news conference', 'NNS VBP JJ', 'JJ NNS NP JJ NNS NP NP POS NN NP NP NP VBD NN NN', 'readiness to give attention'
'first designed eliminate risk prepayment -mortgage-backed securities retired early', 'rates decline prepayment forces investors redeploy money lower rates', 'JJ VBN VB NN NN JJ NNS VBN RB', 'NNS VBP NN VBZ NNS VB NN JJR NNS', 'money paid for the use of money'
'time drop', 'rates since spring failed revive residential construction industry', 'NN NN', 'NNS IN NN VBN VB JJ NN NN', 'money paid for the use of money'
'david berson economist mortgage bankers association predicted drop', 'rates eventually boost spending single-family homes probably early next year', 'NP NP NN NP NP NP VBD NN', 'NNS RB VB NN JJ NNS RB JJ JJ NN', 'money paid for the use of money'
'toronto-based real estate concern said bond warrant entitles holder buy c$ 1,000 principal amount debentures par plus accrued', 'date purchase', 'JJ JJ NN NN VBD NN NN VBZ NN VB NN AB NN NN NNS NN CC VBN', 'NN NN', 'money paid for the use of money'
'also said charges assuming dramatic fluctuation', 'rates company expects achieve near-record earnings 1990', 'RB VBD NNS VBG JJ NN', 'NNS NN VBZ VB JJ NNS AB', 'money paid for the use of money'
'fire also fueled growing international', 'japanese behavior', 'NN RB VBN JJ JJ', 'JJ NN', 'readiness to give attention'
'meanwhile traders tokyo say prospect lower uXsX', 'rates spurred dollar buying japanese institutions', 'RB NNS NP VBP NN JJR NP', 'NNS VBN NN VBG JJ NNS', 'money paid for the use of money'
